地区,2020年5月,2020年4月,2020年3月,2020年2月,2019年5月,2019年4月,2019年3月,2019年2月
北京市,1256.47,878.08,616.35,302.36,1212.43,880.84,658.7,339.41
天津市,1088.37,733.53,481.87,186.48,1198.52,866.09,587.09,220.45
河北省,1364.59,908.11,557.49,146.96,1369.99,953.89,591.67,177.61
山西省,512.11,329.15,195.06,60.37,495.42,324.58,197.09,60.73
内蒙古自治区,224.71,117.01,46.46,5.61,210.34,110.78,46.44,5.61
辽宁省,997.87,700.45,402.32,110.2,992.73,713.3,473.64,132.81
吉林省,356.5,130.01,46.57,11.67,319.06,118.86,45.9,11.88
黑龙江省,149.85,69.56,21.21,1.17,184.46,82.38,27.06,2.02
上海市,1594.11,1194.78,859.97,575.37,1536.63,1230.08,937.11,626.88
江苏省,4964.94,3790.4,2717.82,1333.97,4927.49,3803.35,2732.1,1511.82
浙江省,3993.3,2968.37,2044.65,1089.48,3921.19,2965.27,2133.88,1205.26
安徽省,2638.71,1920.8,1216.53,569.59,2640.37,1945.61,1315.92,706.07
福建省,2254.12,1661.61,1132.93,525.24,2260.03,1796.77,1306.38,648.82
江西省,836.4,626.91,424.19,223.99,816.08,623.9,440.9,241.04
山东省,3099.43,2264.11,1538.66,733.83,3069.68,2265.87,1543.5,766.1
河南省,2585.79,1831.19,1168.86,416.63,2516.6,1818.22,1196.96,537.26
湖北省,1020.77,647.46,257.22,127.39,1856.9,1432,978.39,421.12
湖南省,1457.11,1062.1,655.32,333.08,1389.01,1032.57,686.88,370.97
广东省,5186.74,3752.8,2548.83,1309.57,5277.18,3922.38,2778.68,1561.05
广西壮族自治区,1338.79,990.94,652.1,260.92,1271.92,958.23,657.44,284.6
海南省,387.83,291.78,215.53,105.13,453.65,358.55,270.43,148.72
重庆市,1541.06,1113.19,764.55,286.09,1634.12,1236.6,878.23,477.2
四川省,2570.01,1950.19,1332.35,672.61,2392.65,1840.71,1308.31,736.71
贵州省,1098.59,832.18,600.55,247.43,1014.27,778.21,562.9,275.71
云南省,1449.13,1087.97,749.76,242.63,1313.43,993.7,740.48,337.58
西藏自治区,39.63,17.17,6.64,0.42,27.34,12.02,4.57,0.5
陕西省,1192.16,821.02,518.58,191.97,1129.66,779.35,518.85,228.91
甘肃省,333.75,201.76,105.55,31.54,304.92,185.4,106.34,34.42
青海省,95.37,50.46,16.58,0.13,77.05,39.88,11.23,0.73
宁夏回族自治区,115.43,73.27,34.29,5.36,107.4,69.33,34.13,5.37
新疆维吾尔自治区,175.92,86.48,33.8,8.24,154.36,78.73,31.67,12.46
